id,review_id,visible,response,"I'm sorry, there is no comment provided for me to determine if it is helpful, negative, or vulgar. Please provide the comment for me to analyze."
142,57,1,"le caractère exceptionnel du site de l'hotel est une réalité.
La qualité de la prestation n'est pas celle d'un hotel 5 étoiles",Negative.
145,58,1,Be prepared for small rooms. ,helpful
158,64,1,"This is not a design hotel as they give you an impression.
Also the drawback of the location if you want to go out to nice restaurants and do some sightseeing stay in Mitte or somewhere more central.
",helpful
167,68,1,Non andateci!!!,Negative.
170,69,1,Fatevela alla larga,Negative.
173,70,1,Ottima catena albeghiera americana,Helpful.
176,71,1,"Hotel bien situé, ambiance moderne et chaleureuse.",helpful
179,72,1,"bof!
il y a certainement de mailleurs choix àfaire à Copenhaghe",Negative.
182,73,1,"I stayed here as an alternative to an airport hotel, relying on the Paddington Express to get me to and from Heathrow.  This proved an excellent way of doing things, as I went for a long run through Hyde Park and poked around Notting Hill, both of which were very close to the hotel.",helpful
187,75,1,Do rely on the staff's dinner recommendations - each was unique and excellent!,helpful
192,77,1,High rooms with said views are not worth the $$$ if it's foggy,helpful
197,79,1,There is a photobooth!,helpful
200,80,1,a eviter,helpful
203,81,1,make spa appointments WELL in advance,helpful
206,82,1,"Even with an ""upgrade"" the room was tiny. Pass on this hotel and go down the street to the Hudson. Their rooms are not larger but you'll pay a little less and have a bit more atmosphere. This was my worse Thompson experience ever. ",Helpful.
209,83,0,Top floor dining room & outside deck are fabulous.,helpful
216,86,1,"No tips - just book it.  Better than all other hotels in the SOHO area, bar none. ",helpful
219,87,1,Know that on the weekends there are special parties by the pool. It's a busy pool.,helpful
222,88,1,"it's a nice place to stay for a few nights, just be aware it is quite pricy if compared with other really good tablet bargains, but I suppose because it's in this beautiful location. also it's not facing any canal, so look for something else if you're looking for the venetian utopia.",helpful
227,90,1,"Get a room on the highest floor as possible. We were on the 4th floor and it was a bit noisy at times, which was a slight dissappointment considering we paid over £1200 for 4 nights.
Make use of the free wine between 5 and 8pm to get a little tipsy before hitting the cocktail bars.",Negative.
236,94,1,Que busquen otro,Negative.
239,95,1,"Clairement c'est cher mais c'est top.
Nous avons passé 6 jours ici et nous vous conseillons cet endroit pour un grand bol d'oxygene et pour en prendre plein les
Yeux grâce au lieu.inutile d'aller essayer les autres restaurants proches, c'est de très très loin le meilleur!!",helpful
248,99,1,préférer les chambes au second étage,vulgar
255,102,1,Try the restaurant. Also good for room service if you are very tired for dinner.,helpful
266,107,1,"overnight parking is expensive through valet, there are other lots you can park in if you have a vehicle
",helpful
271,109,1,"Palm springs est très jolie, de beaux paysages etc. Mais l hôtellerie est vraiment moyenne et la clientèle très française. Filez plutôt vers l Arizona, la qualité hôtelière est vraiment bonne et les paysages exceptionnels! ",helpful
274,110,1,Head to Tribeca and the West Village for adventure.,helpful
277,111,1,"The rooms are new, and specially if you get the junior suites they are very large for Paris.",helpful
284,114,1,"some of the rooms have hottubs with jacuzzi, which means no showers. if you want a room with shower, then make sure you chose the right roomtype. and some people might not like the thought of a jacuzzi in a hotel room, because of remaining water in the pumps.",helpful
291,117,1,ask them to recommend a small restaurant nearby - it's a gem - very delicious food well priced and an intimate french experience in the heart of paris,helpful
294,118,1,Definitely have dinner at the delectable Aha next door (great wine and Cambodian tapas)...then follow it up with a ginger martini at Linga.,helpful
297,119,1,Breakfast is from 7am.,helpful
302,121,1,"Ask hotel staff for restaurant recommendations, they are awesome!",helpful
305,122,1,Clarify with Tablet if your rate is inclusive of breakfast.,helpful
312,125,1,Rooms not facing the street are much quieter,Helpful.
315,126,1,dont stay here,Negative.
320,128,1,The italian restaurant Ovest across the street was amazing!,helpful
325,130,1,restaurant very good for a hotel,helpful
332,133,1,Stay here. Genuinely one of the best hotel experiences I've had in ages. I've stayed at a lot of other boutique hotels and found them highly underwhelming. This place is great.,helpful
337,135,1,Get a room away from 47th Street.,helpful
346,139,1,Pain Quotidien is just a few doors down to the left -- perfect for that morning pain au chocolat and cappuccino. Then stroll this Phoenix of an urban park.,helpful
349,140,1,Definitely Try the restaurant - One,helpful
354,142,1,Try not to let them place you in a ground level ocean view room if you care about the view: our view to the ocean was partly obstructed by the garden view rooms.,helpful
371,150,1,"Beware of the offers for bottled water from the bar and restaurant.  They charge as much for a bottle of water as a premium cocktail.

The staff and the food were excellent.

The rooms can be a bit noisy, but leaving the A/C fan running will drown out any ambient noise.",Helpful.
374,151,1,Stay elsewhere!,Negative.
377,152,1,"Enjoy the breakfast, in a surprisingly lovely breakfast room.",helpful
380,153,1,If you are face controlled at the out door bar complain and get in. Dont let them ruin your night!,helpful
385,155,0,Small but highly functional rooms.,helpful
396,160,1,"If you're in a street-facing room, do open your windows, especially on the higher floors, as it's a lovely perk.

Ride the elevator to each floor and look at the murals in the hallways.

If you've stayed at Chambers before, ask about getting a different room, if only for the chance to look at new art.",Helpful.
399,161,1,Think of this hotel as only a place to sleep without any expectations for service etc. ,helpful
406,164,1,"Muy buena opción para Johannesburgo, solía quedarme en el Intercontinental del aeropuerto pero desde la primera vez he vuelto aunque llegue de tarde y salga en un avión temprano.",helpful
411,166,1,There is a really nice authentic French restaurant called PHARMACIE a short walk away from the Hotel,Helpful.
414,167,1,"The owner of the Stary hotel also owns Pod Roza hotel and the Copernicus hotel in Krakow.
Both have excellent restaurants.

Have dinner/lunch on the roof terrace in summer.
",helpful
417,168,1,"this is a party hotel with guests that rage all night, be prepared if you are looking for a quiet hotel tucked away in the Pearl district.  Area is changing, developing.  Easy to get around, cable car right outside, and walking and biking the city is enjoyable",Helpful.
420,169,1,"Good location, nice beach club, good value",helpful
423,170,1,For a chocolate treat take the stairs towards Viktualienmarkt and head for Beluga - get a taste of the best Brownie in town!,helpful
426,171,1,"Listen to the guys at the front desk, everything they suggested was exactly what we were after.",helpful
429,172,1,Definitely eat at the restaurant. The stay wouldn't be complete without that experience. Organize taxis in advance with the front desk whenever possible. Have them write down the address on a separate sheet in Chinese because the business card has microscopic font and no one can make heads or tails of it. ,Helpful.
442,178,1,"Everything is within walking distance, even for younger children.",helpful
445,179,1,Stay somewhere else. If you decide to stay here ask if they are still doing MAJOR construction to the lot next door. Just a suggestion.,helpful
448,180,0,"que lo elijan, vale la pena sin dudarlo.",helpful
451,181,1,Research location before you go. There's not too much for tourists in the neighborhood and required us to quickly learn the bus system. It ended up being a nice location because it is central to other neighborhoods but may not be an ideal location for first time visitors. ,Helpful.
454,182,1,Rooms are small and doors to restroom don't provide complete privacy.,helpful
457,183,1,Pedir la habitación con vista al museo,Helpful.
460,184,1,pidan cuarto con bañera privada en el patio.,Helpful.
463,185,1,N'hésitez pas à déguster une pizza au restaurant de l'hôtel.,helpful
472,189,1,I would upgrade and get the nicer rooms,Helpful.
475,190,1,The hotel can be very difficult for taxi's to spot so make sure you're watching out for a club sign that says Destination which is right on the corner  of the hotel.,Helpful.
480,192,1,Lee restaurant is right around the corner.,Helpful.
485,194,0,The restaurant is overpriced and mediocre.,Negative.
490,196,1,Can take the tube to Picadilly Circus and walk 2 blocks to hotel from airport or train stations. ,helpful
493,197,1,Restaurant very good for dinner.,helpful
498,199,1,"Currency exchange is generally available only at the bank and airport so make sure you get your NT dollars before you leave the airport 
Forget Snake Alley ",Helpful.
501,200,1,"The hotel is new and we realized this going in.  Over time I would expect them to iron out the wrinkles and move past the ""growing pains"" stage.  ",helpful
504,201,1,They have a great fixed price menu for dinner but reserve a space early as it books out fast. ,helpful
507,202,1,Enjoy some time in the pool and steam room. The buffet breakfast can't be missed.,helpful
522,209,1,Room with Terrace is very special,helpful
527,211,1,great yoga studio on connecticut which does community classes.,helpful
536,215,1,"try the restaurant on the roof, the food was amazing",helpful
541,217,1,"Upgrade to one of the larger rooms with the view of the museum, as the beds in the smaller rooms are horrible",helpful
548,220,1,Make sure to get out at Causeway Bay exit F if you are taking the MTR! It might be worth a taxi from the Airport Express train station if it is your first visit. After that it is easy to figure out where you are.,Helpful.
551,221,1,"have dinner at 7 archi (via marchesana) great setting, extensive wine list and interesting menu",helpful
554,222,1,ask the owners for lunch or dinner recommendations - they are only too happy to help. buy a bottle of their lambrusco for light refreshment if the weather is nice and you can sit outside to enjoy.,helpful
567,228,1,Try to avoid the rooms facing 44th Street. It can get quite loud. ,helpful
572,230,1,They don't have a business center so photocopies are hard to get.,helpful
575,231,1,Just stay here if you want a truly relaxing environment and yet very close to town.   The hotel is close to Piazza Pitti with tons of excellent restaurants local go to.   Highly recommended!,Helpful.
578,232,1,.,"There is no comment provided to determine if it is helpful, negative, or vulgar."
589,237,1,We stayed in a smaller room which was nicely appointed and found the storage space to be a bit limited. However as we were packing up we noticed that there was a large trundle cupboard under the bed... Consider booking a larger room if you have a lot of luggage. ,Helpful.
592,238,1,"The rooms are small, but very comfortable and contained everything you need.",helpful
605,244,1,"Take advantage of the classes even if you have never previously done yoga or pilates, meditation or other classes, they are well worth your time.",helpful
610,246,1,Book this hotel.,helpful
621,251,1,take a walk downtown,helpful
624,252,1,"Etablissement très convenable, clientèle chic.
A 10 m des embarquements de gondoles. A ne pas manquer : prendre son petit déjeuner sur la terrasse en regardant les encombrements de gondoles et le rush de chinois à 10h du matin, par vague de 6 sur une gondole, avec la bouteille de champagne à la main (en fait de l'asti spumante tiède...)",Negative.
627,253,1,"Great rooms, location and service not to miis.",helpful
630,254,1,Stay at the Pulitzer as often as you can!,helpful
637,257,1,The harrowing drive up is worth it!,helpful
644,260,1,It's quite expensive because the room only has the basic amenities and there is no facilities in the hotel. What makes up for it is the central location and the front desk crew. ,Helpful.
647,261,1,"+ The service was really good
+ location was prefect for some short walks to the Old Downtown areas
",helpful
652,263,1,Cost to access pool is $25 euro pp per half day and children are not welcome. Gym is limited. Roof top bar is amazing but restaurant food poor. ,helpful
657,265,1,rooms are a bit small although the gym and the bathroom was exceptional,helpful
662,267,1,Forget the suites... stay in the rooms facing the street,Helpful.
665,268,1,Loft suites on the high floor were great but normal suites you can't swing a cat in.,helpful
668,269,1,Great for being cool but may be impersonal and lacking warmth for some. Worth a try though.,helpful
673,271,1,"Stumptown is great for coffee and donuts. Try and get a room on the higher floors so the lobby noise doesn't bother you at night (they have regular DJs). We were on the 10th and didn't hear a peep. However, the lift opened onto the 2nd one night and it was still pretty loud there. ",Helpful.
692,280,1,"There are many wonderful cafes just around the corner, where we usually had breakfasts.
近所にはカフェが多く、朝食はそういうところで戴きました。",helpful
699,283,1,Must place in Florence and best boutique hotel to stay. It has everything.Congrats!!! We will be after after the year end.,helpful
706,286,1,Y aller sans aucune crainte.,helpful
709,287,1,"This is not a quiet, peaceful hotel. Have learnt from previous visit to book a room 'street' facing as opposed to 'courtyard' facing. Only hotel I have ever stayed where they provide earplugs - needed if you are on the upper floors on Thursday through Saturday night!",Helpful.
712,288,0,"Highly recommended for busines, shopping, sightseeing for couples or small families",helpful
715,289,0,"Is a party hotel so be warned , but is great fun.",helpful
718,290,1,go somewhere else,Negative.
723,292,1,Many excellent restaurants in the area.  Breakfast could have suppplied a tastier bread.,helpful
726,293,0,Check whether you really have a superior room.,helpful
739,299,1,No 15 andar as janelas são bem grandes.,helpful
742,300,1,Fantastic location for the theater or walking around central London,helpful
749,303,1,Make sure you ask for a room with a desk or table. ,helpful
762,309,1,"Book an extra day or two here.   There is plenty to do, and you won't want to leave.   Ask Marcela for a cooking class.   Go on a walk every day, but leave some time to relax and get a massage as well.",helpful
777,316,1,Ask for  river view room.,helpful
792,323,1,"Look / ask for the panorama rooms!   The Volkstheatre subway (U3) is very close if you plan to take the train / bus from the airport.

",Helpful.
797,325,1,"The on-site restaurant is an absolute delight, definitely worth checking out!",helpful
800,326,1,"No iPod docks in the rooms, so you need to have a set of portable speakers or equiv. if you want to listen to music in your room.  Small TV, small refridge in room..  Great lighting and decor.  Breakfast buffet is wonderful.",helpful
805,328,1,Small rooms adjacent to service facilities are to be avoided. ,helpful
814,332,1,Unless you are on vacation with lots of time and patience this hotel is not for you!,Negative.
823,336,1,Book early and get the breakfast package well worth it.,helpful
826,337,0,"There are no airport transfers provided by this hotel, you'd have to take a cab / take the airport express then take a taxi from Hong Kong to the hotel. 

If you're one for big breakfasts, then don't rely on the free breakfast buffet this hotel offers.

",Helpful.
833,340,1,Roof terrace has a wonderful view,helpful
840,343,1,"Opt for one of the 3, 5 or 7 night Wellness Programs that include all your meals, treatments and more. An excellent value and experience.",helpful
853,349,1,If a lot of noise bothers you ask for a room on the third floor.,helpful
856,350,1,Sit back and enjoy,helpful
865,354,1,"While views from all sides of the hotel are wonderful, try to get a room overlooking the Ponte Vecchio and the Arno - simply spectacular.  I don't think it would be possible to have a better view in all of Firenze!",helpful
868,355,1,Ask for high floor,Helpful.
889,365,1,The location was a little removed from downtown but was easy to access by bus and subway. Local neighborhood has interesting shops and some great dining.,helpful
892,366,1,Great location if you are visiting the Vatican.,helpful
901,370,1,Enjoy yourself!,helpful
904,371,1,Make sure you know where you room is situated.  Overlooking the Fishing Dock isn't the best.,helpful
907,372,1,Stay here as many nights as possible!!!,helpful
914,375,1,"eat at at Il Villagio Osteria - the restaurant was priceless - have a pizza! (oh my) everything was great. this is the best hotel in Teton Village - and there are several great ones.
",helpful
917,376,1,This is an apartment hotel with no 'hotel' services.  This can be a very good thing if what you want is apartment living.,helpful
926,380,1,"Book a stay in this lovely hotel. I am a hotel ""prima-donna"" and am very critical of where I stay. The service and facilities here are amazing! ",helpful
941,387,1,Don't have your breakfast at the hotel!,helpful
948,390,1,Great place to stay if you're planning on being in Bratislava for a few days.,helpful
965,398,1,Use the knowledge of the staff they are so helpful.,helpful
972,401,1,If you want a reasonably priced hotel with a very good breakfast (ours was included) I reallly recommend Camperio House,Helpful.
983,406,1,"The S-bahn is under construction and affects one of the main lines nearest to the hotel. This makes it difficult to access some key destinations (Potsdamer Platz, Mitte, Museum Island). Also, the room service is not very good.",helpful
986,407,1,check out the lobby there is always something happening.,helpful
989,408,0,Good value for money,helpful
1000,413,1,"Wenn die 70er oder 80er nicht Ihre Libelingsdekaden sind, erkundigen Sie sich beim Einchecken auf welchem Stockwerk Ihr Zimmer liegt ...",helpful
1009,417,1,Do not book this hotel if you're looking for a boutique experience. It is one step above a hostel. ,helpful
1022,423,0,"Ask the desk for prepaid museum tickets, to skip all the lines. They offer a wealth of good local information on where to go, and when.",helpful
1025,424,1,"Be aware that the bathrooms are European style with just a glass door separating the shower and toilet from the room, so if you're sharing with people, know that privacy is not top of the list of the room's qualities. ",helpful
1042,432,1,Try out Gigi Tratoria very close to the hotel. The food is excellent and the atmosphere is fantastic,helpful
1051,436,1,stay elsewhere!,Negative.
1056,438,1,"If you going to book a room do not go cheap, the better rooms are definitely worth the price and the sea rooms are apparently quite disappointing.  Try out all the restaurants as they are interesting and with 3 pools to choose from don't feel like you need to suntan at only one.",helpful
1061,440,1,Ideal for a 7-10 day stay. Get a car for the day to go around Goa but best to stay within the resort as lot of things to offer.,helpful
1070,444,1,The Rooftop lounge is a must.,helpful
1073,445,1,there are better hotels in NYC,helpful
1090,453,0,solo si es necesario,helpful
1093,454,1,"A nice hotel -- slightly away from the mid-town madness. Very chic and beautiful decor without the uber-trendy ""seen and be seen"" folks that tend to populate some of the hipper neighborhoods in NY. This hotel is in the financial district which is actually quite interesting with many new bistros to discover.",helpful
1098,456,1,Aprovechar el Spa y leer un rato en la piscina observando el atardecer en el oceano. Muy importante pedir una habitacion con vista al oceano.,helpful
1103,458,1,"Es perfecto para disfrutar lo mejor de Los Angeles, rodeo drive, sus tiendas y restaurantes sin la necesidad de trasladarte en automóvil. ",Helpful.
1106,459,1,The complimentary breakfast is in a different building than the main lodge and worth finding.  The wine and fruit in the evening was relaxing.  Definitely take a dip in the hot tub. ,Helpful.
1123,467,1,Don't miss the afternoon tea,Helpful.
1126,468,0,none,N/A (not applicable)
1139,474,1,"Be Playa is situated towards the North, less touristy, end of Playa, but not so far that the rest of town isn't a short jaunt. It's a great spot! The elevator wasn't working or was being installed while we were there, so if you're stair-adverse, maybe call to check if it's up and running in advance, though the most stairs you'll climb are to the roof deck, which is only on the 4th or 5th floor. ",helpful
1142,475,1,"This might be West Hollywood, but the Chamberlain is really tucked away, it feels intimate and quiet, and maybe a tiny bit haunted.",helpful
1145,476,1,"Add the extra to get a so-called Royal Club room. Then you can enjoy breakfast at Alberto K, on the top floor.",helpful
1152,479,1,Get a view front-on-to the water. It is worth it,Helpful.
1157,481,1,"Stay on highest floor available for great view - and EXCELLENT sushi and crapes available across the street in the shopping center by Peace Plaza.

bring a small car that is easy to park",helpful
1164,484,1,Excelent design,helpful
1167,485,1,"You can go there on weekdays... but I weekends, do not expect to sleep before 4am!",Negative.
1170,486,1,We had a great time and did not mind at all the location. Actually it is nicely located if you want to go uptown or downtown...,helpful
1177,489,0,The closest subway station is undergoing renovation... beware. ,helpful
1182,491,1,Upgrade to a suite. So worth it.,helpful
1199,499,1,Download the NYC subway and city map to your smart phone - SoHo is not as easily navigated as midtown. Bring your own laptop if you are an interwebs junky,Helpful.
1208,503,0,This is a very businessy hotel. I wouldn't stay here again unless (like when we stayed) the whole city was basically full. ,Negative.
1211,504,1,It was fine  for what I paid  - would have been disappointed had I paid rack rate.,helpful
1214,505,1,don't put your toiletries on the shelf above the toilet. Some people may be prone to  knocking them in....,helpful
1217,506,1,ask for a room without the deck/railings outside,helpful
1220,507,1,"Don't book here if you intend to work in the evenings, there's no desk space",helpful
1223,508,1,ask for a high room re the street noise.  Ask the maid to make up your bed horizontally.,Helpful.
1226,509,1,Eat dinner on the roof of the Banyan tree hotel next door - but not if you are vertiginous.,helpful
1229,510,1,"don't eat for a week before arriving, then eat at the restaurant",Negative.
1254,522,1,Don't depend on the wifi service. It was extrememly shoddy in our room.  Location is fantastic.  About a block from Times Sq. and maybe 2 Blocks from Rockefeller and right next door to Bryant park which was really nice little area.   Rooms small but typical for NYC.  Really noce though and modern. Bed was extremely comfortable.  parking is expensive but $45 a night was worth it for not having to deal with the garage directly.  ,helpful
1257,523,1,"Aunque en la información de la web parece que el hotel esta alejado del centro, en realidad caminando no es mas de 15 minutos y el paseo es agradable.",Helpful.
1270,529,0,Avoid the top floor rooms as they are on two floors and the windows are tiny and between the two floors (can't really see outside).,helpful
1273,530,0,There is no lift - luggage isn't an issue as the helpful staff will take it for you but it's a consideration if you would struggle with several flights of stairs.,helpful
1278,532,1,"I would consider other hotel. However, the service was great and eliminating the smell it should get better. ",helpful
1283,534,1,Nessage chair is a plus.,helpful
1302,543,0,Take the bus to the old town,Helpful.
1305,544,1,take a tour of the hotel - it's impressive,helpful
1316,549,1,Great location steps from WeHo.  Cool atmosphere and always a good scene.,helpful
1325,553,1,Make time to enjoy the spa!,helpful
1330,555,1,SUPER RESTO!,helpful
1339,559,0,Book here!!!,helpful
1354,566,1,"Downstairs restaurant is great for dinner and b/fast. 
The yoga spa just one block away from the hotel offers great, frequent classes .",helpful
1359,568,1,"There aren't many great restaurants in Glen Ellen, but in neighbouring Yountville, you're surrounded by Michelin Stars!",Helpful.
1364,570,1,Do not go there,helpful
1367,571,0,Get your food across at Farmer's Market.,helpful
1380,577,1,"Buchen, Preisleistungsverhältnis sehr gut.
Die zur Straße gelegenen haben einen senastionellen Ausblick über die Stadt, sind aber nicht ganz ruhig.",helpful
1387,580,1,Find another hotel in Budapest.,Negative.
1390,581,1,"Don't expect ""great service"" or especially attentive staff, but it's a bargain for the price (usually).",helpful
1393,582,1,Don't go,helpful
1398,584,0,"try to get a high floor, bar noise has been a complaint from some close to 7th floor...",helpful
1407,588,1,É um pouco afastado das áreas quentes. Atrapalha um pouco os programas noturnos.,helpful
1412,590,1,Select a high floor tower room overlooking the bay.,helpful
1415,591,1,"I think the Aria is a better value more fun destination. Lower room rate for the same room design, and you have a casino and services at your doorstop",Helpful.
1418,592,1,"Hotel Josef has a hotel car usually parked up front, which is a little more expensive than a cab but much nicer.",helpful
1425,595,1,Breakfast in the courtyard is fantastic in winter time.,helpful
1428,596,1,Kein Hotelparking aber Parkhaus in der Nähe (ca. EUR 35/Tag). Sonntags gratis parken am Place de la République möglich.,Helpful.
1431,597,0,oui,"This comment is not helpful as it is just the French word for ""yes"" and does not provide any context or information."
1440,601,1,Eat at the restaurant......,helpful
1449,605,1,Check out the bed before you unpack to make sure it's comfortable.,helpful
1452,606,1,いわゆる大型のホテルではないので、スリッパが備えてありません。ご自分で持参することを勧めます。,helpful
1457,608,1,bring snorkel equipment if you don't want to use other people,Helpful.
1460,609,1,Concierge a great help with local knowledge and tips for places to visit,helpful
1463,610,1,Go to the riad recommended les bains de Marrakech for hammam and massage and definitely request dinner at the riad at least one night as the food is much more delicious than you will get in any of the restaurants!!,helpful
1468,612,0,"The rooms are nice, but we upgraded for a better view and were disappointed.  Not worth upgrading.  The hotel seemed a little dated also.",Helpful.
1471,613,1,Go for dinner at Hakkasan,helpful
1476,615,1,Ask for a room away from the main road!,helpful
1483,618,1,Visit Mougins,Helpful.
1492,622,1,O restaurante é incrível. Aproveite para provar os pratos tradicionais holandeses.,helpful
1495,623,1,"An interesting mix of guests from San Francisco, New York, Los Angeles.  This place is quiet and relaxed.",helpful
1502,626,1,"concierge are very helpful and good to ask for advice for transport, tickets, dinner ",helpful
1507,628,1,go to another place and be sure to be in the caribbean see and not in the atlantic.... that's the excuse for the water color....,Negative.
1510,629,1,"Be prepared to have patchy unreliable or non-existent internet wi-fi connection.
The hot tub at the rooftop is empty and you must book ahead with the staff if you want to use it. Note that the tub is not as hot as you would imagine.",Helpful.
1517,632,1,ask for a room with a view - the mountains are beautiful.,helpful
1520,633,1,"Even though you're probably going here to lie on the beach, definitely squeeze in the tour of their hydroponic greenhouses. It sounds strange, but you won't regret it!",helpful
1532,639,0,The steps to the upper floors are very steep - you need to be secure in your footing.  ,helpful
1535,640,1,great deal on Tablet last minute,helpful
1538,641,1,Hard to beat at this price.,helpful
1541,642,1,"The transportation from the airport offered by the hotel (40 euros) might be worth the extra cost.  We used a taxi service recommended online, and that was a traumatic experience.  Be aware that the taxi area outside the Ataturk airport is VERY caotic.  
Also, take advantage of the restaurants recommended by the staff.  We tried three of them and they were all excellent.  They definitely know their stuff!",Helpful.
1548,645,0,Bring earplugs and don't plan on spending too much time in room. If ya wanna party and drink then it's a gem. ,Negative.
1551,646,1,Skip the breakfast promotion.  Not worth it.,helpful
1560,650,0,"Hotel is on smallish side.   If you stayed before refurbishment, you won't necessarily see huge differences except in decorations and quality of food.  Internet is free but slow in evenings when guests are using it.  Also like that they don't have ridiculous extra charges for room service which is 24 hours. Close to Green Park Tube station and walking distance to many museums and galleries.  ",Helpful.
1581,660,0,unbedingt die Balkontür aufschliessen lassen  - der Ausblick lohnt sich.,helpful
1584,661,1,It’s a young and happing place. Only recommended for people up to 50 years!!,Negative.
1595,666,1,Not the luxury service you would expect from such a pricey hotel.,helpful
1598,667,1,bathroom is samll. Fine for 1 person,helpful
1601,668,1,"No for someone who doesn't like loud, small spaces",helpful
1606,670,0,"Roof terrace parties have a great view.
",Helpful.
1611,672,1,The hotel staff has great advice about visiting the city. ,helpful
1614,673,1,Fab location...no public meeting space (bar etc) though,helpful
1623,677,1,"Rooms at the back are quieter, definitely have a drink in their salon with a real open fire and a lovely piano to play.",helpful
1628,679,1,"Make sure you eat at hotel. You will be very happy. Ask suggestions, our waiter even suggested one of their house brands, it was great and very reasonable. House of Blues, next door was not worth the effort, but not related to hotel. This hotel had a fantastic location, directly between magnificent mile and State street. walk a few blocks, spend a few hundred dollars.  Concierge can hook you up with anything for your stay. ",Helpful.
1633,681,1,Visit the restaurant Paraiso Tropical!!!,helpful
1648,688,1,"An excellent location, just off Union Square.
Easy shopping, restaurants, plenty of tourist things to do or just wander round and soak up this wonderful city.",helpful
1653,690,1,"Take advantage of the guidance of Michael, the head guy at the front desk.",helpful
1662,694,1,Not a bad option for a Singapore stopover; bedrooms are very comfortable although wouldn't recommend for dining.  Nearest metro station is less than 10 minutes walk away.,helpful
1669,697,1,Don't miss the rooftop bar,helpful
1672,698,1,"Don't explore past the Crane Beach!! It may look deserted and beautiful, but there are men in the caves who wait until you walk past and then come out and follow you!",helpful
1681,702,1,JBar is top drawer for Aspen experience,helpful
1686,704,0,Ask,helpful
1691,706,1,the large suite is divine,helpful
1704,712,1,Ask for the highest floor you can get,Helpful.
1713,716,1,Try to get a room with an outside view - but don't worry if not as you have amazing views from the moment you step out of the front door.,helpful
1722,720,1,The spa is worth the money.,helpful
1741,729,1,Highly recommend the 2 Michelin-star restaurant. ,helpful
1748,732,1,"Our room was excellent with a nice balcony. However it was right in front of this automatic glass doors close to the elevator which made the most loud noise when they open and closed.  Noise was so loud, it woke me up a couple of times. Try to stay away from these doors. ",helpful
1771,743,1,ask for rooms on the upper levels,helpful
1774,744,1,it's just a pleasure..,helpful (although it is unclear what the comment is in reference to)
1779,746,1,Nice location,helpful
1784,748,1,wonderful rooftop garden and breakfast space,helpful
